height (inches),left handspan (cm),right handspan (cm),sex,handedness,dominate eye
67,20,19,f,r,r
65,13.5,13,f,r,l
60,13.1,13.5,f,r,r
66,15.2,15.5,f,l,l
70,21.1,20.9,m,r,l
70,20.3,20.1,m,r,l
65,18.1,17.9,f,r,l
61,20,19.2,f,r,r
74,17,17,m,r,r
70,24,23.4,m,r,l
64,22.5,21,f,l,r
67,22.3,22.5,f,r,r
63,20.3,20.5,f,l,r
64,20,20,f,r,r
66.5,22.6,21.5,m,r,l
71,24.8,25.1,m,r,r
65,23.5,23,m,r,r
69,21,22,m,r,r
69,20.8,20.8,m,r,l
68,23.5,22,m,r,r
71,24.3,24.1,m,r,l
63,21,20.5,f,r,l
74,22.5,22.75,m,r,l
74,25,25,m,r,r
70,23.4,22.2,m,l,l
63,21.1,21,f,l,r
72,24,24,m,r,l
64,18,18,f,r,r
64.5,19,18.5,f,r,r
75,26,26,m,r,l
64,20,21,f,r,r
71,19.9,20,m,r,r
72,23.5,23,m,r,l
75,23.9,23.5,m,r,l
62,15.3,15.5,f,r,r
67,20,20,m,r,r
70,19.7,20,m,r,r
65,20,21,f,r,r
62,15.5,16,f,r,r
65,21,21,f,r,r
66,18,18.5,f,r,r
68.5,20.5,20.5,f,r,l
67,20,20,f,r,l
60,16.5,17,f,r,r
76,23,22,m,r,l
66,21,20.5,m,l,r
67,17.5,18.8,f,r,r
64,16.5,17.1,f,r,l
70,21.5,22.1,m,r,r
71,23,22.5,m,r,r
71,22,23,m,r,r
65,21.6,21.8,m,r,r
64,17,17,f,r,r
65,19,17,f,r,l
64,17,17,f,r,l
66,17,16,f,r,r
60,17.5,18,f,r,r
65,16.3,16.8,f,r,r
76,21.3,21.2,m,r,r
63,15,15.5,f,r,r
68,20.5,20,f,r,r
75,23,22.1,m,r,l
72,20.1,20.2,m,r,r
65,22,21,f,r,r
63,17.5,18,f,l,r
66,16,15,f,r,l
64,21,21.8,f,r,r
65,19,19,f,r,l
68,21.2,20.8,m,r,l
61,19.3,19.1,f,r,r
65,20.5,20.5,f,r,l
71,23,23,m,r,l
69,23,23,m,r,r
66,22,22,f,r,r
66,21.8,22,f,r,l
67,20.1,20.1,f,r,l
66,23,22,f,r,r
69,15.4,18,f,r,l
64,16.2,16,f,r,r
68,21.7,20.5,f,r,r
70,22,21.1,m,r,l
72,21,20.5,m,r,r
72,25,24.9,m,r,r
65,20.5,20.8,f,r,r
66,20,19.5,f,r,l
60,17.2,18.3,f,r,r
67,19,19.8,f,r,r
69,22,21.8,f,r,l
73,22.1,21.3,m,r,l
71,22.2,22.4,m,r,r
64,21,19,f,r,r
69,23,22.5,f,r,l
68,18.6,18.1,f,r,l
72,19,18,f,r,r
66,18,18,f,r,r
72,22.4,22.4,m,r,r
59,12.4,12.7,f,r,r
60,21.2,22,f,r,r
61,17.3,17,f,r,r
83,23,22.5,m,r,l
63,17,17.3,f,r,l
70,19.5,20,f,r,r
69,22,21.9,f,r,r
70,23,24,m,l,l
68,20,19.7,f,r,l
68,20.5,20.2,m,r,r
68.5,15.5,15.2,f,r,l
68,21,20,f,r,r
70,16,17,f,r,r
66,19,19,f,r,r
73.5,23.5,23.2,m,r,r
69,20.7,20.2,m,r,r
61,18,19,f,r,l
65.5,20,19.7,f,r,l
68,22.5,23,m,r,r
66,20.1,20.2,f,r,l
69,22,22.2,m,l,r
65,18,19,f,r,r
67,18.8,19.1,f,r,l
67,19.6,19.7,f,r,l
72,21.5,22.5,m,r,l
65,18.5,18.7,f,r,r
63,17.5,18,f,r,l
63,17.5,18,f,r,r
71,20.5,20.8,m,r,l
71,22.6,22.5,m,r,l
64,15,16,f,r,r
68,15.4,17.9,f,r,r
63,17.5,17.8,f,r,l
64,18,18,f,r,r
64,19,19.5,f,r,l
66,20,20.5,f,r,l
62,14.5,15,f,r,l
62,17.5,17.5,f,r,r
62,20,20,f,r,r
62,21.8,21.8,m,r,r
60,16.9,16.1,f,l,l
65,15,16,f,r,l
62,17,17,f,l,l
62,15.5,15.5,f,r,l
65,17.5,18,f,r,l
70,24,24,m,r,r
69,17,17.5,f,r,r
72,24.5,24,m,r,r
68,15.5,16,f,l,l
66,16,16,f,r,r
66,21,20.5,f,r,r
65,17.8,17.8,f,r,r
61,19,18.5,f,r,l
64,19.9,19.7,f,r,r
64,20,20.5,f,l,l
64,17,17,f,r,l
65,19,19.5,f,r,l
65,19.1,19.9,f,r,r
62,15,15,f,l,l
73,22,21,f,r,r
65,21.5,20,f,r,r
67,20,20,m,r,r
63,19,18.7,f,r,l
60.5,17,17,f,r,r
60,16,17,f,r,l
66,19,19.1,f,r,r
66.5,18.1,19,f,r,r
68,19.2,19.8,f,r,r
70,18.9,19.1,m,r,r
64,17.8,18.3,f,r,l
62,18,18,f,r,r
68,20.2,20.1,f,r,l
63,20.2,20.2,f,r,l
60,18.5,18.5,f,r,l
69,20.2,20.3,m,r,l
68,21.5,21,m,l,l
74,24.5,25,m,l,l
64,18.4,18.5,f,r,l
71.5,21,20.5,m,r,l
66,17.5,18,f,r,r
70,20.5,20.5,m,r,r
68,19,19.5,m,r,l
